Title,Date,Content,"Access to a secure digital","Accessible and sustainable","Affecting Topics","Type of organisations",Countries,Impact,"Alert types","Civic and political","Civil Society Organisation","Enabling principles","New Contextual","New Violations","Open and responsive State","Respect and protection","Socioeconomic rights","Specific age groups","Specific groups minority","Supportive legal","Supportive public culture","Permalink Path",Permalink
"The NGO Proética receives historic recognition from the Supreme Court as an aggrieved party in a corruption case",2025-10-13,"Event SummaryIn September 2025, the Supreme Court's Special Investigation Chamber notified Proética of its recognition as an aggrieved party, setting a historic precedent: it became the first civil association to be acknowledged as representing citizens affected by corruption. On 7 January 2025, Proética had requested authorization from the Public Prosecutor’s Office to participate in the criminal investigation against President Dina Boluarte and other officials for the alleged crime of aggravated collusion, related to the preferential treatment of suppliers in social programs run by the Ministry of Development and Social Inclusion (MIDIS), such as Qali Warma. The aim was to represent the beneficiaries who were directly affected by this act of corruption.  The Public Prosecutor’s Office denied this request, so Proetica turned to the Supreme Court’s Preparatory Investigation Chamber through a rights protection remedy. Following the hearing held on May 6, Proética was officially recognized as an aggrieved party. 
The UNCAC Coalition’s Working Group on Victims of Corruption highlighted the significance of this achievement, stating: “The Peruvian Supreme Court’s decision resonates far beyond Latin America. At a time when restrictive laws and political pressure are shrinking civic space worldwide, this ruling affirms the essential role of NGOs in ensuring that corruption cases reflect the voices and rights of those most affected”. 
This ruling sets a clear precedent affirming that civil society organizations have legal standing to defend vulnerable citizens’ rights. By recognizing Proética as an aggrieved party, the Supreme Court reinforces their vital role in safeguarding the public interest, aligned with Constitutional Court jurisprudence, the UN Convention against Corruption, and Article 94(4) of the Criminal Procedure Code. ",,,,,Peru,Positive,"Improvement alert",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework | 4. Open and responsive state",,,"Changes in degree of participation of and engagement with civil society",,,,,,,/event/the-ngo-proetica-receives-historic-recognition-from-the-supreme-court-as-an-aggrieved-party-in-a-corruption-case/,https://events-eusee.hivos.org/event/the-ngo-proetica-receives-historic-recognition-from-the-supreme-court-as-an-aggrieved-party-in-a-corruption-case/
"Disputed union leadership transition raises concerns over interference",2025-10-09,"Event Summary
On 14 September 2025, the executive committee of the Autonomous Central of Workers of Panama was removed as a result of a general assembly, which, according to its general secretary, failed to comply with the union's bylaws. The congress was convened to elect a new Executive Committee (Board of Directors), but only six of the eighteen member organisations participated. Article 16 of the CGTP statutes stipulates that the call for a National Workers’ Congress must be issued either by the Executive Committee itself or by at least half plus one of the affiliated organisations. Despite this requirement, the Ministry of Labour and Workforce Development (MITRADEL) promptly recognised the congress and approved the change in the CGTP’s Board of Directors.  Additionally, the general secretary was the subject of a complaint filed by another union leader, who accused her of honor crimes. The criminal case was dismissed by a judge who considered it lacking in evidence. The union leader maintains that this is not an isolated incident, but rather part of a broader strategy against the Panamanian union movement.  

This raises concerns about potential weakening of workers’ collective organising and political interference in internal union processes. Such developments can undermine the enabling environment for civil society by eroding organisational autonomy, reducing trust in democratic governance structures, and restricting the ability of labour unions to operate freely and independently.  ",,,,,Panama,Negative,"Context to watch",,,"1. Respect and protection of fundamental freedoms",,,,"Freedom of association",,,,,,/event/disputed-union-leadership-transition-raises-concerns-over-interference/,https://events-eusee.hivos.org/event/disputed-union-leadership-transition-raises-concerns-over-interference/
"Arrest of activists during forced removal of the Auditor General",2025-10-07,"Event SummaryOn 15 September 2025, police arrested four activists during a press conference condemning the removal of the Auditor General from office. The police forcibly removed Auditor General Momodou Ceesay from the National Audit Office after he rejected President Adama Barrow's appointment of him as Trade Minister. Plain-clothes police officers attempted to arrest Ceesay and install his successor, but staff members initially blocked them until reinforcements arrived to escort Ceesay out. Ceesay, appointed in 2022, had overseen high-profile audit reports exposing government irregularities and calling for tighter spending controls.
The activists were arrested outside the National Audit Office protesting Ceesay's removal. Police Intervention Unit officers reportedly used tear gas indiscriminately to disperse the crowd and prevent journalists from covering the event. Four activists; Kemo Fatty, Alieu Bah, Momodou Camara, and Omar Saibo Camara, were subsequently charged with unlawful assembly and common nuisance.
The forced removal and arrest of protesters represent a significant escalation in tensions between civil society activists and the government over accountability and anti-corruption efforts.",,,,,"The Gambia",Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework",,,,"Arbitrary Arrests and Detentions | Freedom of assembly | Freedom of expression",,,,,,/event/arrest-of-activists-during-forced-removal-of-the-auditor-general/,https://events-eusee.hivos.org/event/arrest-of-activists-during-forced-removal-of-the-auditor-general/
"Amparo Law Reform &#8211; Risk to Effective Access to Justice",2025-10-07,"Event SummaryOn 15 September 2025, the President of the Republic submitted to the legislature a bill to reform the Amparo Law. While the proposal includes fiscal aspects and other relevant topics, the amparo trial has been a central instrument for the defense of rights in Mexico. Among the substantial modifications, the change in the definition of “legitimate interest” stands out, which in practice restricts the ability of individuals, communities, and civil society organizations (CSOs) to file collective amparos, especially in environmental, social, and Indigenous matters.
The government argues that the reform seeks to reduce abuses and streamline processes; however, various CSOs, bar associations, and collectives have warned that the changes are regressive and put effective access to justice at risk.
The legislative debate included public hearings that concluded on September 30, with minor adjustments to the concept of “legitimate interest.” Nevertheless, the process was marked by limited civil society participation and a fast pace that hindered thorough analysis of the impacts of a reform of such significance.
The most alarming development occurred on 1 October 2025, when the Senate approved the reform with minimal changes and, at the last minute, added a transitory article establishing the retroactive application of the law, extending its effects to amparos already in process. This decision has caused significant concern across many sectors, as it is seen as a serious setback in access to justice without real checks and balances, in a context where the Supreme Court of Justice is closely aligned with the political control of the ruling party. The reform is now moving to the next stage, but everything indicates that it will be approved without significant modifications in the coming days.",,,,,Mexico,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework | 4. Open and responsive state",,,"Changes in degree of government accountability to civil society","Freedom of association",,,,"Changes affecting the environment for civil society actors to operate | Changes affecting the protection from interference in civil society actor’s operations | Changes to fiscal frameworks",,/event/amparo-law-reform-risk-to-effective-access-to-justice/,https://events-eusee.hivos.org/event/amparo-law-reform-risk-to-effective-access-to-justice/
"CSO shut down due to Foreign Agents Law",2025-10-06,"Event SummaryAs part of an ongoing closure of operations by civil society actors, three prominent civil society organisations (CSOs) announced either their closure or their withdrawal from implementing projects, citing the deteriorating political environment and the impact of the Foreign Agents Law.
On 5 September 2025, FESPAD, a leading organisation established in 1988, announced its closure. It stated that the law creates legal uncertainty for CSOs and renders operations financially unsustainable, particularly due to the 30% tax on foreign funding and donations, alongside the risk of sanctions and intrusive oversight.
Similarly, on 8 September 2025, FUDECSO announced its dissolution after 33 years of work, arguing that the law has made their continued existence “inviable.” The organisation described the law as a form of censorship and expressed concerns about persecution, harassment, and arbitrary arrests carried out under the country’s ongoing state of exception.
In addition, on 16 September 2025, the Journalists’ Association of El Salvador (APES) announced it would no longer implement projects funded by international cooperation. The organisation explained that the Foreign Agents Law creates an untenable legal and financial framework for such initiatives, and that continuing would expose them to undue risk.
These developments underscore the worsening enabling environment for civil society in El Salvador, where restrictive laws, financial barriers, and the prolonged state of exception are creating a climate of fear and making independent civic action increasingly unsustainable.",,"Changes to the availability of funding | Changes to the sustainability of funding",,,"El Salvador",Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms",,,,"Freedom of association | Freedom of expression | Freedom of the press / media",,,,"Changes affecting the environment for civil society actors to operate | Changes affecting the formation and registration of CSOs | Changes to fiscal frameworks | Suspension or Dissolution of Organizations","Negative labelling of CSOs",/event/cso-shut-down-due-to-foreign-agents-law/,https://events-eusee.hivos.org/event/cso-shut-down-due-to-foreign-agents-law/
"Civil Society Organisations Raise Alarm Over Restrictive Draft Law on Associations",2025-10-06,"Event SummaryOn 25 September 2025, eight prominent human rights organizations — including Human Rights Watch, EuroMed Rights, OMCT, CIHRS, and the Foundation for the Promotion of Rights in Algeria (FPRA) — issued a joint press release urging Algerian authorities to lift unjustified restrictions on civil society and to thoroughly revise the draft law intended to replace Law 12-06 on Associations. The draft bill, currently under review, proposes a burdensome registration regime (including requirements for bailiff certification and high thresholds for founding members), expands the discretionary powers of the Ministry of the Interior (including unrestricted inspections, control over funding, and administrative suspensions), and introduces vague clauses such as “national values” and “national unity” — terms that could be arbitrarily used to suppress civil society activities. Civil society actors argue that the draft law contradicts Article 53 of Algeria’s Constitution, which guarantees a declarative regime for associations, and violates international and regional standards, including Article 22 of the ICCPR, Article 10 of the African Charter, and the ACHPR Guidelines on Freedom of Association. This legislative development follows other restrictive measures in 2025, including revisions to the Code of Criminal Procedure and the Law on General Mobilisation, all occurring in a broader context of shrinking civic space. The signatory organizations have called for the draft law to be withdrawn or substantially revised, and for genuine consultation with civil society stakeholders. These developments signal a looming deterioration of the enabling environment for civil society in Algeria, particularly affecting freedom of association, expression, and registration, and risk further isolating civil society from democratic processes.
&nbsp;",,,,,Algeria,Negative,"Early warning alert",,,"2. Supportive legal and regulatory framework",,,,,,,,"Changes affecting the environment for civil society actors to operate | Changes affecting the formation and registration of CSOs",,/event/civil-society-organisations-raise-alarm-over-restrictive-draft-law-on-associations/,https://events-eusee.hivos.org/event/civil-society-organisations-raise-alarm-over-restrictive-draft-law-on-associations/
"Mali’s ICC Withdrawal: A Blow to Democracy and Civil Society",2025-10-06,"Event SummaryMali's withdrawal from the International Criminal Court (ICC) marks a worrying step in the deterioration of the human rights situation and democratic governance. This decision of 22 September 2025, announced by the Alliance of Sahel States (AES), deprives citizens and civil society of an essential international mechanism for combating impunity for the most serious crimes, including war crimes and crimes against humanity. It is part of a broader trend towards the concentration of power and the restriction of civic space under the banner of national sovereignty. This trend is characterised by the postponement of elections indefinitely, the dissolution of political parties, the repression of independent media and the arbitrary detention of various actors.
In this context, the Malian people find themselves deprived of fundamental guarantees, both nationally and internationally, in the face of abuses and potential violations of their rights. The gradual closure of channels for citizen participation and accountability undermines the legitimacy of institutions and increases the risk of impunity. United Nations experts have called on Mali to reconsider its decision and to remain in the ICC. the withdrawal thus symbolises a major setback for democracy, justice and the rule of law in Mali.",,,,,Mali,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework",,,,"Accountability for human rights violations",,,,"Changes affecting the environment for civil society actors to operate",,/event/malis-icc-withdrawal-a-blow-to-democracy-and-civil-society/,https://events-eusee.hivos.org/event/malis-icc-withdrawal-a-blow-to-democracy-and-civil-society/
"Cancellation of an NGO&#8217;s foreign contributions license signals increased scrutiny for CSOs in conflict-affected regions",2025-10-03,"Event SummaryOn 25 September 2025, India’s Ministry of Home Affairs cancelled the Foreign Contribution (Regulation) Act (FCRA) license of SECMOL, the NGO founded by renowned Ladakh-based climate activist Sonam Wangchuk, citing alleged financial violations and activities against the “national interest.” The ministry flagged transactions including improper deposit of locally generated funds in the FCRA account, foreign funds for research on migration and sovereignty, and incomplete declaration of multiple bank accounts. The action followed a period of unrest in Ladakh, where protests for statehood turned violent, resulting in casualties, and the government blamed Wangchuk for inciting demonstrators.
Since its separation from Jammu &amp; Kashmir in 2019, Ladakh has seen growing unrest over demands for local autonomy, tribal rights, and constitutional safeguards, led by groups like the Leh Apex Body and Kargil Democratic Alliance. In September 2025, delayed government negotiations and worsening hunger strikes led to violent protests, deaths, and a crackdown, highlighting deep tensions between regional aspirations and central government control.
The CBI and tax authorities initiated further investigations into SECMOL and related organisations, scrutinizing fund transfers from Sweden and alleged mismanagement. Wangchuk and his colleagues argued that the funds were intended strictly for educational and food sovereignty programmes and characterized the government’s interpretation as a misreading. The move is part of a broader pattern, with thousands of NGO FCRA licenses cancelled under regulatory scrutiny in recent years.
The cancellation of SECMOL’s FCRA license stands out due to its direct connection with recent violent protests in Ladakh over statehood demands, escalating the political sensitivity around the organization. The cancellation not only restricts SECMOL's ability to receive foreign funds but also symbolizes a broader attempt to curb civil society activism perceived as aligned with dissent. Unlike some other cancellations based purely on compliance technicalities, the government framed it as national security and public order concern linked to the protests and “provocative statements,” marking a more explicit political dimension and raising serious concerns about the deteriorating enabling environment in conflict-affected regions of India.",,,,,India,Negative,"Deterioration alert",,,"2. Supportive legal and regulatory framework | 3. Accessible and sustainable resources",,,,,,,,"Changes affecting the environment for civil society actors to operate",,/event/cancellation-of-an-ngos-foreign-contributions-license-signals-increased-scrutiny-for-csos-in-conflict-affected-regions/,https://events-eusee.hivos.org/event/cancellation-of-an-ngos-foreign-contributions-license-signals-increased-scrutiny-for-csos-in-conflict-affected-regions/
"President declares a State of Emergency in seven provinces; suspending freedom of assembly",2025-10-03,"Event SummaryOn 16 September 2025, President Daniel Noboa declared a new state of emergency in Ecuador amid reactions across several parts of the country to the elimination of the diesel subsidy (in place since 1974) and mobilizations opposing mining projects in Quimsacocha, Azuay Province. The state of emergency decree was focused on the main provinces of Carchi, Imbabura, Pichincha, Azuay, Bolívar, Cotopaxi, and Santo Domingo, where a greater number of road blockages were reported, under the argument that these were hindering the normal development of citizens’ personal, economic, commercial, and work activities. Through Executive Decree 134, the freedom of assembly was suspended for 60 days, prohibiting gatherings in public spaces at all hours of the day. The decree also empowered the Armed Forces and the National Police to prevent and disperse meetings in public spaces.
Following the publication of Executive Decree 134, in the seven provinces where the measures were focused, the right to freedom of assembly was suspended with the stated aim of limiting gatherings of people in public spaces intended to paralyze public services or block transportation routes. Despite clarifying in the decree that the measures did not imply restrictions on the right to peaceful protest, demonstrations led by students and teachers’ unions—such as those held on September 16, which sought to march toward the city center in opposition to government measures—were intercepted by members of the Armed Forces, who dispersed them using tear gas and stun grenades.
In response to the elimination of the subsidy, several demonstrations have taken place in Ecuador, which have been repressed by law enforcement, resulting in the detention of at least 10 people participating in protests across different parts of the country. The main protest hotspots have been concentrated in the provinces of Carchi and Quito, where groups of heavy transport workers and citizens have blocked access roads to these cities. The executive branch announced that measures would be taken against people obstructing public services, applying maximum penalties. In his statements, the president said: “No union leader should try to pressure us by threatening to cut off the water supply. Anyone who does so will be charged with terrorism and could face up to 30 years in prison.",,,"Socioeconomic rights",,Ecuador,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms",,,,"Arbitrary Arrests and Detentions | Freedom of assembly | Freedom of association | Freedom of expression",,,,,"Negative discourses on CSOs | Negative labelling of CSOs",/event/president-declares-a-state-of-emergency-in-seven-provinces-suspending-freedom-of-assembly/,https://events-eusee.hivos.org/event/president-declares-a-state-of-emergency-in-seven-provinces-suspending-freedom-of-assembly/
"Pachamama Foundation denounces the freezing of its bank accounts and the initiation of a judicial investigation against its president",2025-10-03,"Event SummaryOn 27 September 2025, in the context of the national strike, the Pachamama Foundation, an environmental organization with 27 years of experience in the defense of the Amazon, the rights of Indigenous peoples, and the promotion of regenerative economic models denounced the freezing of the organization’s bank accounts and the initiation of a judicial investigation against its president, Belén Páez. These measures were carried out under the newly approved Organic Law on Social Transparency, which empowers the Financial and Economic Analysis Unit (UAFE) to immobilize the funds of social organizations without prior judicial order (although requiring subsequent validation within eight days). The Pachamama Foundation also pointed out that the impact of this measure extends to the Amazonian communities that benefit from the organization’s projects. All those affected have received notifications from the Office of the Attorney General indicating that a preliminary investigation has been opened for alleged unjustified private enrichment.
This event constitutes a critical alert for the enabling environment, as it reflects a strategy of financial suffocation that undermines the right to property, freedom of association, and due process. Civil society—including local environmental organizations and the Confederation of Indigenous Nationalities of Ecuador (CONAIE), which was likewise affected by account freezes in recent days—has denounced these actions as acts of intimidation that criminalize dissent and paralyze community projects, setting a dangerous precedent of using legal tools to silence critical voices.
-----------
El 27 de septiembre de 2025, en el contexto del paro nacional, la Fundación Pachamama, una organización ambiental con 27 años de trayectoria en la defensa de la Amazonía, los derechos de los pueblos indígenas y la promoción de modelos económicos regenerativos, denunció el congelamiento de las cuentas bancarias de la organización y el inicio de una investigación judicial contra su presidenta, Belén Páez. Estas medidas se ejecutaron bajo el amparo de la recién aprobada Ley Orgánica de Transparencia Social, que faculta a la Unidad de Análisis Financiero y Económico (UAFE) inmovilizar fondos de organizaciones sociales sin orden judicial previa (aunque requiere validación posterior en un plazo de ocho días). Desde la Fundación Pachamama también señalan que el impacto de esta medida se extiende a las comunidades amazónicas beneficiarias de los proyectos de la organización. Todos los afectados han recibido notificaciones de Fiscalía General del Estado indicando que se ha iniciado una investigación previa por presunto enriquecimiento privado no justificado.
Este evento constituye una alerta crítica para el entorno habilitante, pues configura una estrategia de asfixia financiera que vulnera el derecho a la propiedad, la libertad de asociación y el debido proceso. La sociedad civil, incluyendo organizaciones ambientales locales y la Confederación de Nacionalidades Indígenas del Ecuador (igualmente afectada por bloqueos bancarios en días pasados) ha denunciado estas acciones como actos de intimidación que criminalizan la disidencia y paralizan proyectos comunitarios, estableciendo un peligroso precedente de utilización de herramientas legales para silenciar voces críticas.",,,,,Ecuador,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework | 3. Accessible and sustainable resources",,,,"Freedom of association | Non-physical Intimidation Tactics",,,"Ethnic and Indigenous Populations’ Rights","Changes affecting the environment for civil society actors to operate | Changes affecting the protection from interference in civil society actor’s operations | Changes to fiscal frameworks | Suspension or Dissolution of Organizations","Negative discourses on CSOs | Negative labelling of CSOs",/event/pachamama-foundation-denounces-the-freezing-of-its-bank-accounts-and-the-initiation-of-a-judicial-investigation-against-its-president/,https://events-eusee.hivos.org/event/pachamama-foundation-denounces-the-freezing-of-its-bank-accounts-and-the-initiation-of-a-judicial-investigation-against-its-president/
"Indigenous land defender killed during protest",2025-10-03,"Event SummaryThe national strike in Ecuador began on 18 September 2025, and remains ongoing. At the same time, a state of emergency is still in force, suspending freedom of assembly in the provinces where the largest mobilizations, usually led by the Indigenous movement, are reported.
On 28 September 2025, amid the national strike called in response to the elimination of the diesel fuel subsidy in Ecuador, the Regional Human Rights Advisory Foundation (INREDH) reported the death of Efraín Fuerez, an Indigenous community member who was killed after being struck by a bullet while participating in a demonstration on the Cotacachi-Otavalo road in Imbabura Province. Subsequent reports indicate that Fuerez was shot three times, one of them in the back. While the Confederation of Indigenous Nationalities of Ecuador (CONAIE) held the Armed Forces and President Daniel Noboa responsible for the citizen’s death, the Government and the Army claimed it was the result of an ambush carried out by protesters against military personnel stationed on the Cotacachi-Otavalo road.
From civil society, INREDH demanded an immediate, independent, and transparent investigation, while CONAIE denounced a pattern of repression and called for continued mobilization in response to the Executive’s measures. For the members of the Cuicocha community, the death of Fuerez—recognized as a pillar of his family and his community—has generated outrage and grief, reinforcing feelings of vulnerability and mistrust toward state institutions and the disproportionate interventions of the armed forces in the context of demonstrations. From the National Government, Minister Zaida Rovira maintained a narrative of criminalizing protest, stating that “what happened in Cotacachi was not protest: it was a cowardly ambush carried out by criminal-terrorist structures that attacked our Armed Forces,” and affirmed that these events would not go unpunished.
The cases of disproportionate repression in the context of the September 2025 national strike in Ecuador do not constitute an isolated event, but rather represent the continuation of a pattern of response to social mobilizations. What distinguishes the current scenario is the consolidation of a more forceful government strategy that has been systematically applied during the most recent administration. President Daniel Noboa has institutionalized the recurrent use of states of emergency through successive decrees, including the one issued on September 16 (Executive Decree 134), setting a precedent of permanent militarization for the control of public order. This strategy has been complemented by unprecedented measures such as the freezing of bank accounts of Indigenous organizations and the suspension of community media outlets, creating a scenario in which social protest is confronted through an expanded repertoire of legal and administrative mechanisms that reflect an escalation in the state’s containment of citizen mobilization.
----------
Defensor indígena de la tierra asesinado durante una protesta
Los casos de represión desproporcionada en el contexto del paro nacional de septiembre de 2025 en Ecuador no constituyen un evento aislado, sino que representan la continuación de un patrón de respuesta frente a las movilizaciones sociales. Esta crisis se enmarca en una secuencia recurrente de protestas desencadenadas por decisiones gubernamentales relacionadas con el precio de los combustibles.
El 28 de septiembre de 2025, en medio del paro nacional convocado como resultado de la eliminación del subsidio al combustible diésel en Ecuador, la Fundación Regional de Asesoría en Derechos Humanos (INREDH) reportó la muerte de Efraín Fuerez, comunero indígena quien falleció tras recibir un impacto de bala mientras participaba de una manifestación en la vía Cotacachi-Otavalo, provincia de Imbabura. Reportes posteriores indican que Fuerez recibió tres disparos, uno de ellos por la espalda. Mientras que la Confederación de Nacionalidades Indígenas del Ecuador (CONAIE) responsabiliza a las Fuerzas Armadas y al presidente Daniel Noboa por la muerte del ciudadano, el Gobierno y el Ejército sostienen que esto fue el resultado de una emboscada que los manifestantes realizaron en contra de militares que se encontraban en la vía Cotacachi-Otavalo.
Desde la sociedad civil, INREDH exigió una investigación inmediata, independiente y transparente, mientras la CONAIE denunció un patrón de represión y llamó a mantener la movilización por las medidas tomadas por el Ejecutivo. Para los miembros de la comunidad de Cuicocha, la muerte de Fuerez, reconocido como pilar de su familia y de su comunidad, ha generado indignación y dolor, reforzando el sentimiento de vulnerabilidad y desconfianza frente a las instituciones del Estado y la desproporción en las intervenciones de las fuerzas armadas en el contexto de las manifestaciones. Por parte del Gobierno Nacional, la ministra Zaida Rovira mantuvo una narrativa de criminalización a la protesta, sosteniendo que ""lo de Cotacachi no fue protesta: fue una emboscada cobarde ejecutada por estructuras criminales -terroristas- que atacaron a nuestras Fuerzas Armadas"" y señaló que los hechos no quedarán impunes.
Los casos de represión desproporcionada en el contexto del paro nacional de septiembre de 2025 en Ecuador no constituyen un evento aislado, sino que representan la continuación de un patrón de respuesta frente a las movilizaciones sociales. Lo que distingue al escenario actual es la consolidación de una estrategia gubernamental más contundente que se ha venido aplicando sistemáticamente durante el último periodo de Gobierno. El presidente Daniel Noboa ha institucionalizado el uso recurrente de estados de excepción mediante decretos sucesivos a los que se sumó el del 16 de septiembre (Decreto Ejecutivo 134), estableciendo un precedente de militarización permanente para el control del orden público. Esta estrategia se ha complementado con medidas sin precedentes como el bloqueo de cuentas bancarias de organizaciones indígenas y la suspensión de medios comunitarios, configurando un escenario donde la protesta social es enfrentada mediante un repertorio ampliado de mecanismos legales y administrativos que reflejan una escalada en la contención estatal de la movilización ciudadana.",,,,,Ecuador,Negative,"Deterioration alert",,,"1. Respect and protection of fundamental freedoms",,,,"Freedom of assembly | Freedom of association | Freedom of expression",,,"Ethnic and Indigenous Populations’ Rights",,"Negative discourses on CSOs | Negative labelling of CSOs",/event/indigenous-land-defender-killed-during-protest/,https://events-eusee.hivos.org/event/indigenous-land-defender-killed-during-protest/
"Supreme Court dismisses revocation of NGO’s FCRA registration in rare protection of freedom of association",2025-10-03,"Event SummaryIn September 2025, the Supreme Court of India dismissed the Central Government of India’s plea challenging the Madras High Court’s directive to renew the Foreign Contribution (Regulation) Act (FCRA) registration of two Chennai-based NGOs. The Central Government argued that the renewal was denied due to violations of Section 7 of the FCRA, which prohibits transferring foreign contributions without prior approval. However, the courts found no evidence of misappropriation or misuse of funds by the NGOs, remarking that procedural lapses alone did not justify refusal. The Supreme Court rebuked the Central Government's for complicating matters and urged compliance with the High Court order, emphasizing that NGOs doing social work should not face undue harassment. The ruling mandates compliance with the renewal order and reinforces procedural fairness in regulatory actions, there by reinforcing legal protections for NGOs, affirming that suspicion without proof of wrongdoing is insufficient cause for denying FCRA renewals.
In recent years and especially the past year, numerous NGOs have faced delays, denials, or cancellations of FCRA licenses, often based on procedural or technical grounds rather than proven misuse of funds. This has resulted in widespread criticism that the regulatory framework is being used to harass and curtail civil society activities under suspicion rather than evidence. The judiciary, through this ruling and others, has increasingly pushed back against the executive’s stringent approach by affirming safeguards for NGOs against arbitrary denial and emphasizing the need for evidence-based actions. The decision marks a rare intervention of the High Court to protect freedom of association with the last decision on a similar matter decided in favor of maintaining the organisation’s FCRA cancellation in 2022.",,,,,India,Positive,"Opportunity alert",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework",,,,"Freedom of association",,,,"Changes affecting the environment for civil society actors to operate",,/event/supreme-court-dismisses-revocation-of-ngos-fcra-registration-in-rare-protection-of-freedom-of-association/,https://events-eusee.hivos.org/event/supreme-court-dismisses-revocation-of-ngos-fcra-registration-in-rare-protection-of-freedom-of-association/
"September 2025: violent repression trend in Mogadishu",2025-10-03,"Event SummaryOn 24 September 2025, Mogadishu witnessed incidents that indicate violations of citizens’ rights. Security forces violently assaulted a father and mother in the Siinaay neighborhood, prompting a public apology from Police Commander Major General Asad Osman Abdullahi. In addition, clashes occurred between government forces and opposition groups near Siinaay and Dayniile markets, resulting in injuries, casualties, and property damage.
The Somali Federal Government has also been demolishing houses in areas considered government land, displacing residents who were living there. This has led to forced evictions and further restriction of citizens’ access to safe housing and essential services. These actions, combined with violent clashes and attacks on civilians, demonstrate increasing challenges for civil society organizations (CSOs) to operate freely and safely. Citizens’ rights to assembly, expression, and security are under threat, and residents face harassment and uncertainty.
Overall, these events reflect a negative trend in Mogadishu’s political space. The combination of state violence, displacement, and political clashes contributes to a climate of fear and uncertainty. This discourages citizens from participating in civic activities and weakens trust in institutions. Civil society actors may be forced to self-censor or reduce their visibility to avoid being targeted, which limits their effectiveness and reach. There is a need for increased monitoring, documentation of abuses, and coordinated advocacy to protect civic space and ensure accountability.",,,,,Somalia,Negative,"Context to watch",,,"1. Respect and protection of fundamental freedoms | 2. Supportive legal and regulatory framework",,,,"Freedom of assembly | Non-physical Intimidation Tactics",,,,,,/event/september-2025-violent-repression-trend-in-mogadishu/,https://events-eusee.hivos.org/event/september-2025-violent-repression-trend-in-mogadishu/
"&#8220;We Do Not Stand Idly By&#8221;: Academics for Israel Democracy Launches Third Civic Protest Collection",2025-10-03,"Event SummaryOn 23 September 2025, Academics for Israel Democracy (AID), a group of academics from different institution in Israel established as part of widespread protests against anti-democratic government measures in 2023 published a collection of statements, speeches, and public appeals delivered by academics and civil society activists during protest events, in the media, and in other forums. These are now presented in English to international audiences.
Among the contributions in this collection are speeches against silence and in favor of hope and solidarity. The collection also features declarations by senior Israeli academics. This is the third booklet published by the group.
The publication is part of an effort to preserve and encourage open and meaningful civic discourse that reflects diverse voices in Israel, including opposition voices, despite the desire of some political actors in Israel to erode the freedom of expression and protest of civil society activists.
Prof. Itai Ater, a member of AID stated, “We care about the Israeli hostages, and we also care about the children of Gaza. We are not indifferent to the suffering of others, we do not stand idly by, and we do not remain silent.” AID’s members actively collaborate with both Jewish and Palestinian citizens of Israel, participating in ongoing civil protests to bring humanitarian and democratic issues—both within Israel and in the occupied territories—into the public agenda.
Alongside their local activity, the academic activists want their voices — and the voices of others in the protest movement — to be heard in the international community.",,,,,Israel,Positive,"Context to watch",,,"5. Supportive public culture and discourses on civil society",,,"Supportive public culture and discourses on civil society",,,,,,,/event/we-do-not-stand-idly-by-academics-for-israel-democracy-launches-third-civic-protest-collection/,https://events-eusee.hivos.org/event/we-do-not-stand-idly-by-academics-for-israel-democracy-launches-third-civic-protest-collection/
