post_title,summary,creation_date,category,post_tag,alert-country,enabling-principle,alert-impact,alert-type,respect-and-protection,supportive-legal,accessible-and-sustainable,open-and-responsive-state,supportive-public-culture,access-to-a-secure-digital,affecting-topic,socioeconomic-rights,specific-groups-minority,specific-age-groups,civic-and-political
"Armed Attack on Kenya Human Rights Commission’s (KHRC) Mother’s Forum ahead of Saba Saba Protests","Event Summary
On 6 July 2025, armed and masked goons stormed and attacked a press briefing by mothers of victims of police brutality at the Kenya Human Rights Commission (KHRC) offices in Nairobi, in an alleged effort to deter and prevent the meeting from continuing, under the notion that the meeting was meant to plan for the Saba Saba protests. The press briefing, which had started as a peaceful gathering, took a different turn as CCTV cameras captured the goons flaunting wooden clubs, forcefully and violently accessing the compound after overpowering private guards, demanding that everyone leave the premises while stating there would be no protests on 7 July 2025. The incident was widely reported in the media, including by The Star and Nation, which highlighted the violent nature of the disruption and the clear targeting of civic actors.
This led to journalists, mothers, and human rights activists present scampering for safety, while the goons made away with people’s properties, including electronics—among them laptops, phones, and equipment belonging to journalists. Some of the mothers were left in tears and stranded, having brought their children with them. The victims of the attack reported the incident at the Muthangari Police Station, with the police committing to investigate.
The attack was preceded by the illegal deportation to Uganda of Martin Mavenjina, a Senior Programme and Legal Advisor on Transitional Justice at KHRC, allegedly under unclear circumstances, despite possessing a valid work permit earlier in the day—signifying a broader threat to democracy and collective freedoms.
As a result of the incident, several actors issued public condemnations. On the same day, 6 July 2025, the Police Reforms Working Group, which includes Transparency International Kenya, released a joint press statement, terming the attack a grave assault on Kenya’s constitutional freedoms and democratic principles. The statement demanded an impartial investigation, the prosecution of the perpetrators, and guarantees of safety for all civic actors involved. Different actors condemned the attack and called for the  arrest and persecution of the perpetrators as they were well captured further  terming the attack as a threat and intimidation on human rights activists.
The attacks was preceded by the illegal deportation to Uganda of Martin Mavenjina a Senior Programme and Legal Advisor on Transitional Justice at KHRC allegedly under unclear circumstances even after possessing a valid work permit  earlier in the day  signifying a threat to democracy and collective freedom.
The attack occurred on the eve of Saba Saba, commemorated annually on July 7th which is a significant date in Kenya’s pro-democracy history that marks the struggle for civil liberties, political reform, and social justice. In recent years, Saba Saba has become an important civic moment for citizens, civil society organisations, and human rights defenders to speak out against state excesses, including police brutality, shrinking civic space, and impunity. The 2025 Saba Saba commemoration came in the wake of widespread June protests that followed the killing of Albert Ojwang, a political blogger, which drew national outrage over police violence, arbitrary arrests, and the use of excessive force against peaceful demonstrators. The mothers&#8217; forum held at KHRC was convened to provide a platform for women to mourn victims of police violence raise concerns about state repression, demand accountability and to seek justice for victims of police violence specifically, those murdered, injured or disappeared as a result of recent protests. Its violent interruption, not only breached the right to peaceful assembly guaranteed under the constitution but also demonstrated an increasingly hostile attitude by the state towards public accountability for violence and reform within the police service.
As of 25 July 2025, no arrests have been made and investigations have yet to yield any visible results. The event is seen as part of an ongoing pattern of shrinking civic space in Kenya, particularly the use of intimidation tactics and state inaction in response to threats against civil society and human rights defenders.
",2025-08-04,,,Kenya,"Civic Culture and Public Discourses on Civil Society, Respect and protection of fundamental freedoms, State openness and responsiveness to civil society, Supportive legal and regulatory framework",Negative,"Deterioration alert","Freedom of assembly, Freedom of association, Freedom of expression, Freedom of the press / media, Non-physical Intimidation Tactics","Changes affecting the environment for civil society actors to operate, Changes affecting the protection from interference in civil society actor’s operations",,,,,,,,,
"Attempts to restrict the funding sources of civil society organizations","Event Summary
The Knesset&#8217;s Constitution, Law and Justice Committee is advancing a bill that would impose a tax on many Israeli CSOs that receive donations from foreign governmental entities. According to the bill (Proposal No. 5222/2, 2024), currently being prepared for a first reading, any NGO that reports having received such funding (above a threshold yet to be determined) will be required to attach a declaration stating that it will refrain from actions (prohibited to senior civil servants) such as: criticizing the government or its ministries, lobbying the Knesset for the following three years.
This would prohibit most advocacy actions undertaken by CSOs in relation to government and parliament. If an organization refuses to sign the declaration it will be subject to a 23% tax, the same as Israel’s corporate tax rate. If it signs but then violates the commitment it will face a 46% tax in addition to financial penalties and legal measures.
The current bill is an updated version of a previous proposal which sought to impose an 80% tax on certain NGOs receiving support from foreign state entities. The revised version, submitted by Committee Chair MK Simcha Rothman, would affect a far broader group of NGOs than the original draft. Both supporters and opponents believe that if passed, the bill will effectively halt donations from foreign governmental sources making the lowered tax rates irrelevant in practice.
Due to the Knesset’s summer recess and a coalition political crisis, it remains unclear whether the committee will move forward with the bill. However, the committee discussion held on 21 July 2025, demonstrated a clear intent by key coalition members to significantly restrict foreign governmental funding to Israeli CSOs, a position stated explicitly by Finance Minister, MK Bezalel Smotrich.
",2025-08-06,,,Israel,"Accessible and sustainable resources, Supportive legal and regulatory framework",Negative,"Early warning alert",,"Changes affecting the environment for civil society actors to operate, Changes to fiscal frameworks","Changes to the effectiveness of funding, Changes to the sustainability of funding",,,,,,,,
"Refoulement arbitraire de Nassera Dutour à l’aéroport d’Alger","Event Summary
Le 30 juillet 2025, Nassera Dutour, militante algérienne des droits humains et présidente du CFDA (Collectif des Familles de Disparu·e·s en Algérie) et de la FEMED (Fédération Euro-méditerranéenne Contre les Disparitions Forcées) a été refoulée à son arrivée à l’aéroport Houari Boumediene d’Alger. Sans explication, malgré sa nationalité algérienne, elle a été retenue trois heures puis expulsée vers la France. Ce refoulement constitue une violation de la Constitution algérienne et du droit international. Nassera Dutour, mère d’un disparu, est une figure emblématique de la lutte contre les disparitions forcées en Algérie. Cet événement marque un dangereux précédent et reflète une tentative manifeste de museler la société civile et les défenseur·e·s des droits humains.
",2025-08-06,,,Algeria,"Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Arbitrary Arrests and Detentions, Non-physical Intimidation Tactics",,,,,,,,,,
"Hong Kong Government issues arrest warrants and bounties for 19 overseas activists linked to shadow legislature in exile","Event Summary
On 25 July 2025, Hong Kong national security police issued arrest warrants for 19 overseas activists accused of subversion under the National Security Law for their involvement in the &#8220;Hong Kong Parliament,&#8221; a shadow legislature formed by pro-democracy activists in exile. The group held unofficial elections in May 2025, attracting 15,702 votes to elect 15 members from 18 candidates, with a virtual swearing-in ceremony on July 14. Four activists &#8211; Elmer Yuen, Victor Ho, Johnny Fok, and Tony Choi &#8211; face HK$1 million bounties for founding the organization, while 15 others have HK$200,000 bounties for participating in the election or being sworn in as members. The activists are based across Taiwan, Thailand, Australia, US, Canada, and UK. Among those wanted are academic Feng Chongyi and businessman Elmer Yuen. Six of the newly wanted individuals were reportedly members of the Taiwan-based Hong Kong Democratic Independence Union. Police accused the group of attempting to &#8220;unlawfully overthrow and undermine the constitutional system&#8221; and warned that providing any assistance to the organization violates the National Security Law. This brings the total number of individuals wanted for alleged national security violations to 34, marking the largest single round of arrest warrants issued under extraterritorial application of Hong Kong&#8217;s security legislation.
This development represents a significant escalation in the transnational repression of civil society and political dissent. The use of extraterritorial legal instruments to target activists abroad undermines international norms, threatens freedom of association, and creates a chilling effect on diaspora communities and global solidarity networks.
",2025-08-06,,,"Hong Kong","Civic Culture and Public Discourses on Civil Society, Respect and protection of fundamental freedoms, State openness and responsiveness to civil society",Negative,"Deterioration alert","Freedom of association, Freedom of expression",,,,"Negative discourses on CSOs, Negative labelling of CSOs",,,,,,
"National Human Rights Commission's community engagement provides opportunity for state-civil society responsiveness and validates role of CSOs","Event Summary
The National Human Rights Commission (NHRC) of India organized a two‑day Camp Sitting in Bhubaneswar, Odisha, from 21st to 22nd July, 2025, aimed at addressing pending complaints of alleged human rights violations in the state.
A variety of serious cases were addressed, including attacks on journalists and human rights defenders, crimes against women and children, fatalities due to snakebites amid medical neglect, flooding affecting families in coastal districts, allegations of witchcraft‑related violations, and trafficking of young girls during the COVID‑19 period. State authorities and complainants were requested to be present to enable on‑the‑spot resolution and deliberation.
After the hearings, the Commission met with the Chief Secretary, Director General of the Police, and other senior state officials to discuss strategies for protecting and promoting human rights. On 22 July, NHRC representatives engaged with civil society organisations, NGOs and human rights defenders, followed by a media briefing on the outcomes of the sitting.
This initiative aimed not only at expediting the hearing of pending human rights cases but also at reinforcing the role of Civil Society Organizations (CSOs) and human rights defenders in the broader ecosystem of rights protection. Odisha, with its diverse socio-economic challenges—including vulnerable tribal populations, instances of gender-based violence, trafficking, displacement, and climate-related risks—requires a robust civil society to advocate for justice and equity. Recognizing this, the NHRC’s Camp Sitting included structured engagement with CSOs to understand field realities, challenges faced in advocacy, and policy gaps. The Commission emphasized the importance of creating an enabling environment for CSOs by promoting transparency, access to justice, and responsive governance.
The event also served as a platform for CSOs to raise concerns related to legal barriers, administrative restrictions, and safety risks faced by human rights defenders. Through interaction with senior government officials, the NHRC sought to foster collaborative approaches that respect the independence of civil society while ensuring accountability. This outreach marks a progressive step toward strengthening civic space in India. Through this practice, the NHRC reinforced state accountability and institutional responsiveness. The event also validated the role of CSOs by including them in structured dialogues and consultations, thus enhancing their legitimacy in policy advocacy and community engagement.
",2025-08-06,,,India,"Civic Culture and Public Discourses on Civil Society, Respect and protection of fundamental freedoms, State openness and responsiveness to civil society",Positive,"Opportunity alert","Accountability for human rights violations",,,"Changes in degree of participation of and engagement with civil society",,,,,,,
"National Human Rights Commission's community engagement provides opportunity for state-civil society responsiveness and validates role of CSOs","Event Summary
The National Human Rights Commission (NHRC) of India organized a two‑day Camp Sitting in Bhubaneswar, Odisha, from 21st to 22nd July 2025, aimed at addressing pending complaints of alleged human rights violations in the state.
A variety of serious cases were addressed, including attacks on journalists and human rights defenders, crimes against women and children, fatalities due to snakebites amid medical neglect, flooding affecting families in coastal districts, allegations of witchcraft‑related violations, and trafficking of young girls during the COVID‑19 period. State authorities and complainants were requested to be present to enable on‑the‑spot resolution and deliberation.
After the hearings, the Commission met with the Chief Secretary, Director General of the Police, and other senior state officials to discuss strategies for protecting and promoting human rights. On 22 July 2025, NHRC representatives engaged with civil society organisations, NGOs and human rights defenders, followed by a media briefing on the outcomes of the sitting.
This initiative aimed not only at expediting the hearing of pending human rights cases but also at reinforcing the role of Civil Society Organizations (CSOs) and human rights defenders in the broader ecosystem of rights protection. Odisha, with its diverse socio-economic challenges—including vulnerable tribal populations, instances of gender-based violence, trafficking, displacement, and climate-related risks—requires a robust civil society to advocate for justice and equity. Recognizing this, the NHRC’s Camp Sitting included structured engagement with CSOs to understand field realities, challenges faced in advocacy, and policy gaps. The Commission emphasized the importance of creating an enabling environment for CSOs by promoting transparency, access to justice, and responsive governance.
The event also served as a platform for CSOs to raise concerns related to legal barriers, administrative restrictions, and safety risks faced by human rights defenders. Through interaction with senior government officials, the NHRC sought to foster collaborative approaches that respect the independence of civil society while ensuring accountability. This outreach marks a progressive step toward strengthening civic space in India. Through this practice, the NHRC reinforced state accountability and institutional responsiveness. The event also validated the role of CSOs by including them in structured dialogues and consultations, thus enhancing their legitimacy in policy advocacy and community engagement.
",2025-08-06,,,India,"Civic Culture and Public Discourses on Civil Society, Respect and protection of fundamental freedoms, State openness and responsiveness to civil society",Positive,"Opportunity alert","Accountability for human rights violations",,,"Changes in degree of participation of and engagement with civil society",,,,,,,
"Deterioration of Press Freedom in Peru Amid Recent Acts of Intimidation Against Journalists","Event Summary
In recent weeks, several incidents in Peru have raised serious concerns about press freedom and the safety of journalists. On 8 July 2025, Gudelia Gálvez Tafur, director of the news portal Huaraznoticias.com, reported receiving death threats via WhatsApp after covering alleged irregularities in public works. When she went to the DEPINCRI police station in Huaraz to file a complaint, officers reportedly refused to register it, claiming that no crime had yet been committed. The National Association of Journalists of Peru (ANP) criticized the police response, and the International Federation of Journalists expressed its support for the journalist.
In another case, Juan José Santibáñez, former Minister of the Interior and current official at the Presidential Office, filed a complaint for alleged surveillance (reglaje) against journalists Mónica Delta, Juan Subauste, Carlos Hidalgo, and Jorge Ramírez, as well as the television network Latina TV. The complaint followed a news report documenting the official’s meetings in public spaces. The National Association of Journalists of Peru (ANP) called on the Public Prosecutor’s Office to dismiss the complaint due to a lack of legal basis, warning that it could be seen as an attempt to intimidate the press. The ANP also emphasized that this case presents an opportunity to strengthen the protection of freedom of expression.
On 18 July 2025, the Municipality of Lima issued a public statement accusing the newspaper La República of sabotage against the metropolitan train system, following the publication of an investigative report that exposed the age and poor condition of the railcars and locomotives purchased by the city. Grecia Infante, the journalist who authored the report, received death threats, experienced hacking attempts on her social media accounts, and faced pressure on her family to stop her coverage. The Press and Society Institute (IPYS) reported that supporters of Mayor Rafael López Aliaga went to the newspaper’s headquarters to shout insults and deface the building with graffiti.
",2025-08-06,,,Peru,"Digital Environment Integrity and Security, Respect and protection of fundamental freedoms",Negative,"Deterioration alert",,,,,,,,,,,
"Increasing negative discourse on CSOs by senior Namibian officials","Event Summary
Recent statements by senior Namibian leaders signal a deteriorating enabling environment for civil society organisations (CSOs).
On 27 July 2025, President Netumbo Nandi-Ndaitwah, speaking in her capacity as leader of the Swapo Party at the Liberation Movements Summit in Johannesburg, issued a strong criticism of foreign-funded civil society organisations. Addressing representatives from former liberation movements across southern Africa, she linked CSOs and opposition parties to foreign efforts aimed at regime change, grouping them with economic warfare tactics such as sanctions and tariffs. This marks her first overtly hostile statement toward civil society since assuming office on 21 March 2025. The timing and tone of her remarks stand in stark contrast to earlier official positions. Just nine days prior, on 18 July, the President launched Namibia’s Sixth National Development Plan (NDP6), which described civil society as a “key driver of national progress” and called for structured engagement. Her previous public references to CSOs have been diplomatically neutral, suggesting partnership rather than confrontation. The abrupt shift in rhetoric—particularly on an international stage—raises concerns about a hardening stance toward civil society.
On 28 July 2025, at the 15th Summit of Women Speakers of Parliament in Geneva, National Assembly Speaker Saara Kuugongelwa-Amadhila criticised direct donor funding to CSOs, arguing that such organisations lack democratic legitimacy and may not represent broader societal interests.
These remarks, delivered on prominent international platforms, reflect a growing narrative that delegitimises civil society and questions its role in governance and development. The framing of CSOs as undemocratic or externally manipulated introduces reputational risks and may undermine public trust. It also signals potential policy shifts that could restrict funding channels, impose regulatory constraints, or limit civic engagement.
The cumulative effect of these statements suggests a narrowing of civic space, with implications for advocacy, service delivery, and democratic accountability. International donors and local actors should monitor developments closely, engage in dialogue with government counterparts, and assess risk exposure for CSOs operating in Namibia. Strategic responses may be needed to safeguard civil society’s role and ensure continued support for inclusive governance.
",2025-08-06,,,Namibia,"Civic Culture and Public Discourses on Civil Society, State openness and responsiveness to civil society",Negative,"Early warning alert",,,,"Supportive public culture and discourses on civil society","Negative discourses on CSOs, Public Defamation against NGOs",,,,,,
"Threats against France 24 journalist","Event Summary
Since early July 2025, Ms. Rosie Pioth, an independent journalist and France 24 correspondent in Brazzaville and Director of Checking Congo has reportedly been the target of persistent threats. This intimidation campaign appears to be directly linked to her investigation into the 1982 bomb attacks in Brazzaville. The investigation, planned for release in a series of instalments, began publication on 17 July 2025.
According to reports, threats have taken several forms: SMS messages ordering her to halt the investigation under threat of death, anonymous phone calls late at night, unknown individuals visiting her neighborhood to gather information about her residence, and even surveillance.
As a result, the journalist has been forced to flee the country to ensure the safety of herself and her family, thereby halting the continuation of her investigation.
The Journalism and Ethics Congo (JEC) issued a statement condemning the attack and calling for action from Congolese authorities, international community and Congolese journalists.
This case is deeply concerning as it signals a broader climate of fear and repression in which independent journalism is not only discouraged but actively punished &#8211; posing a grave threat to the future of press freedom in the Republic of Congo.
",2025-08-07,,,"Republic of Congo","Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Freedom of expression",,,,,,,,,,
"President Noboa proposes law that would impose new restrictions on civil society organisations","Event Summary
On Tuesday, 29 July 2025, President Daniel Noboa submitted the “Organic Law for the Control of Irregular Capital Flows” to the National Assembly. This bill could require civil society organisations (CSOs) to provide the national government with information about the projects they implement, the funding they receive, and their financial statements. It also introduces grounds for dissolution that could be interpreted ambiguously. If approved, the law could negatively impact Ecuador’s civil society ecosystem, including social organisations, foundations, international donors, private companies, and others.
The proposed legislation opens the door to potential violations of the freedoms of association and expression. It establishes an unfavourable regulatory framework that could limit the ability of CSOs to carry out their work. One of the main concerns is the inclusion of discretionary grounds for dissolution, such as acting “against the fundamental rights of individuals, public order, or national security,” without defining what those terms mean.
Oversight of CSOs would be transferred to the Superintendency of Popular and Solidarity Economy, effectively treating social organisations as economic or commercial entities. The bill mandates that all CSOs implement integrity and transparency systems which, due to their lack of access to technical and financial resources, would disproportionately affect grassroots and community-based organisations.
Several civil society representatives have expressed concern over the proposed law, arguing that it is intended to silence criticism of the presidential administration. They note that if the goal is to address the financing of criminal groups, Ecuador already has laws in place to investigate and prosecute such crimes. Activists and environmental organisations have also spoken out against this law.
",2025-08-11,,,Ecuador,"Supportive legal and regulatory framework",Negative,"Early warning alert",,"Changes affecting the environment for civil society actors to operate, Changes Increasing Administrative Burden for CSOs, Changes to fiscal frameworks",,,,,,,,,
"Lebanese investigative journalist detained at Beirut airport under allegations of collaboration with Israel","Event Summary
On 20 July 2025, Lebanese investigative journalist Hajar Knio was detained by General Security officers for hours at Beirut’s Rafic Hariri International Airport under an order from military court government commissioner. The detention was based on allegations of collaboration with Israel, and she was later released but instructed to report for further questioning at the General Security Investigation Branch at the National Museum. Her electronic devices remained seized. Knio denied any contact with Israeli entities, explaining that her reporting references publicly available sources rather than direct communication. She suggested that the detention stems from her investigative reporting on drug‑trafficking networks and her criticism of Hezbollah.
Civil society groups such as Journalists for Freedom condemned the detention, calling it a retaliatory attempt to intimidate dissenting voices and attack journalists. The case shows a deteriorating situation of press freedom, where the space for independent investigative reporting is steadily shrinking.
",2025-08-11,,,Lebanon,"Respect and protection of fundamental freedoms, Supportive legal and regulatory framework",Negative,"Deterioration alert","Freedom of the press / media",,,,,,,,,,
"Dismissal of the Attorney General","Event Summary
A wide range of civil society organizations in Israel and many leading figures from the business sector have spoken out against the Israeli government&#8217;s unanimous decision to dismiss the Attorney General from office on 4 August 2025. This decision marks a further escalation in the ongoing confrontation between the government and its opponents regarding the nature of governance and the political regime in Israel. The dismissal comes in the wake of the AG’s consistent legal and professional opposition to many government actions, including moves that might reduce the scope of action for CSOs, based on concerns that they threaten the democratic character of the Israeli regime.
Her dismissal was approved through a procedure whose legality is in question and will be reviewed by the Supreme Court. The government ignored its own long-standing procedure regulating such dismissals which requires consultation with a special selection committee that had previously reviewed and approved the Attorney General’s candidacy. This procedure exists to ensure the independence of the Attorney General.
The committee, chaired by retired Supreme Court President Asher Grunis, was not convened due to the Justice Minister’s difficulty in assembling a majority within the committee in support of the dismissal. To bypass this obstacle, the government appointed a new special ministerial committee. The committee summoned the Attorney General for two hearings (on June 14 and 17, 2025), which she refused to attend, arguing that the procedure was unlawful, its outcome predetermined, and that it was merely a façade. The committee subsequently decided to dismiss her.
The ministers justified the dismissal by claiming that the Attorney General was obstructing government actions and policies. According to Justice Minister Yariv Levin, the persistent disagreements have led to paralysis in many areas of government activity.
Most legal experts believe that the Supreme Court will strike down the dismissal due to procedural irregularities. In any case, the decision marks a new high point in the intense legal, political, and public struggle that has been unfolding in Israel for the past two and a half years.
Following the decision, civil society organizations filed petitions with the Supreme Court to halt the move, and a wide range of protest events are being planned.
&nbsp;
",2025-08-11,,,Israel,"Respect and protection of fundamental freedoms, Supportive legal and regulatory framework",Negative,"Context to watch","Freedom of expression, Non-physical Intimidation Tactics","Changes affecting the environment for civil society actors to operate",,,,,,,,,
"The Inter-American Court of Human Rights issues a ruling on legal representation, and the Amazonas Court excludes lawyers for defendants in the Baguazo case.","Event Summary
The Inter-American Court of Human Rights (IACHR) issued two resolutions requesting the Peruvian State to ensure that victims of human rights violations can continue to be represented by the organizations that have supported them, without incurring consequences under Law No. 32301 on the Peruvian Agency for International Cooperation. The law penalises the &#8220;improper use&#8221; of resources and donations intended to “advise, support, or fund” administrative, judicial, or other actions &#8211; whether within Peru or abroad &#8211; against the Peruvian State. According to the Court, this legislation, along with its possible regulations, may constitute an indirect way of limiting the exercise of the right to legal representation. The resolution of July 2, 2025, indicates that the mere possibility of a sanction may violate Article 53 of the Court’s Rules of Procedure and the victims’ right to choose their defense freely. In May 2025, the Court had also expressed concerns as an obstacle to the functioning of human rights defender organisations, and that it would affect freedom of association and expression.
Subsequently, on July 21, a hearing was held before the Inter-American Commission on Human Rights (IACHR), attended by civil society organizations and representatives of the State. During the hearing, the State affirmed that there are no restrictions on continuing to represent victims, provided that international cooperation funds, which constitute a primary source of funding for many of these organizations, are not used.
At the national level, impacts linked to this legislation have been recorded. The Superior Court of Justice of Amazonas (Amazonas) dismissed three lawyers representing Indigenous leaders prosecuted in the case known as “Baguazo,” applying the amendment of the Creation of the Peruvian Agency for International Cooperation Law (APCI). The lawyers requested to continue their defense to avoid leaving the defendants without representation, but the court decided to remove them from the proceedings and give the defendants three days to appoint new legal counsel.
The impact of Law No. 32301 on the enabling environment continues to send a chilling effect on civil society in Peru, and further developments need to be monitored.
",2025-08-12,,,Peru,"Supportive legal and regulatory framework",Positive,"Context to watch",,"Changes affecting the environment for civil society actors to operate",,,,,,,,,
"Key CSO and Faith Based Organiations (FBO) leaders appointed to Human Rights Commission Board in Zambia","Event Summary
On 28th July 2025, President Hakainde Hichilema announced the appointment of a new board for the Human Rights Commission (HRC) in accordance with Section 7(1) of the Human Rights Commission Act No. 4 of 2024. The new Chairperson is Dr. Pamela Sambo, a distinguished academic and long-standing human rights advocate, with Dr. Felicity Kalunga appointed as Deputy Chairperson. Other commissioners are Bishop Emmanuel Yona Chikoya, Ms. Panic Malawo Chilufya, Ms. Laura Mary Miti, Father Joe Komakoma, and Mr. Fred Wamundila Waluya. The appointments are pending ratification by the National Assembly. Its outcome will depend on how swiftly Parliament acts and how soon the Commission begins to function under the new leadership.
Three of the appointees are prominent civil society leaders: Bishop Chikoya, Ms. Laura Miti, and Father Komakoma. Bishop Chikoya and Ms. Miti are returning commissioners, having served on the previous board, while Father Komakoma is a new addition. Their continued and fresh perspectives are expected to reinforce the Commission’s independence, accountability, and capacity to act as an internal check on government conduct.
With the Access to Information (ATI) framework under the HRC’s jurisdiction, civil society organizations (CSOs) now have a unique opportunity to assess the law’s effectiveness in practice. The new board’s composition, particularly with strong CSO representation, has raised expectations that the Commission will not only safeguard fundamental rights but also actively promote transparency and responsiveness to citizens’ concerns. This development comes amid heightened public demand for transparency, accountability, and citizen participation in governance. Civil society Organisations have consistently called for a strong, independent, and well-resourced HRC.
",2025-08-13,,,Zambia,"Digital Environment Integrity and Security, State openness and responsiveness to civil society, Supportive legal and regulatory framework",Positive,"Improvement alert",,"Changes affecting the environment for civil society actors to operate",,"Changes in degree of government accountability to civil society, Changes in degree of transparency of government / freedom of information, Supportive public culture and discourses on civil society",,,,,,,
"Investigations into alleged police abuse during protests","Event Summary



On 29 July 2025, in an interview with Televisora Nacional-Channel 2, the country&#8217;s Attorney General indicated that 64 investigations are underway into alleged police abuse committed by members of the security forces during the protests in Bocas del Toro from April to June 2025. Additionally, complaints of similar incidents have been received in the provinces of Veraguas, Chiriquí, and Darién, bringing the total number of police abuse cases under investigation to 95. The Attorney General&#8217;s Office also reported that the case of a minor who died, possibly due to the excessive use of tear gas, is being investigated. The exhumation of the victim&#8217;s body was announced for August.
These investigations are critical for the enabling environment for civil society, as they address concerns over the use of excessive force by police. Civil society and other actors will be following the process closely, as the handling of these cases will signal the state’s willingness to uphold accountability, protect civic space, and ensure that law enforcement operates within human rights standards. Outcomes from these investigations could set important precedents for how similar incidents are addressed in the future.
The Attorney General also reported on the legal actions arising from the protests in Bocas del Toro. He detailed that 281 people have been prosecuted for crimes of arson, apology for crime and attack against public servants, most of whom face precautionary measures other than preventive detention. 
&nbsp;
&nbsp;
&nbsp;



",2025-08-13,,,Panama,"Respect and protection of fundamental freedoms",Positive,"Context to watch","Accountability for human rights violations, Arbitrary Arrests and Detentions, Freedom of assembly, Freedom of association, Freedom of expression",,,,,,,,,,
"Asesinato del senador y precandidato presidencial Miguel Uribe Turbay (11 de agosto de 2025)","Event Summary
El lunes 11 de agosto de 2025, falleció el senador Miguel Uribe Turbay. Había recibido un disparo durante un mitin político en Bogotá el 7 de junio, mientras se postulaba para la candidatura presidencial para las elecciones de 2026. La muerte de Uribe Turbay, tras dos meses en cuidados intensivos, ha tenido un profundo impacto en un país que ha revivido episodios oscuros de violencia política en las últimas décadas. Se trata de uno de los actos de violencia electoral más graves de los últimos tiempos: aunque un joven de 15 años fue detenido como autor material y otras seis personas fueron capturadas, aún no se ha identificado al autor intelectual del crimen.
El caso ha tenido un impacto nacional e internacional: miles de personas participaron en protestas y actos de duelo, figuras políticas de todos los sectores expresaron su condena y presión para que se haga justicia, y el Gobierno anunció medidas de seguridad extraordinarias para los precandidatos. Este asesinato se produce apenas nueve meses antes de las elecciones presidenciales de Colombia (previstas para marzo de 2026), lo que aumenta la tensión democrática, la polarización y el temor social. El patrón de asesinatos de líderes sociales se ve reforzado por este asesinato de un líder político que era candidato presidencial. En el último año, aunque no se han producido asesinatos como este, la violencia política se ha manifestado en el asesinato de actores sociales a nivel territorial.
El clima electoral ya estaba marcado por la polarización, y la Misión de Observación Electoral había informado de incidentes violentos contra actores políticos, especialmente a nivel local. Este impacto podría afectar significativamente a las elecciones de 2026. Este suceso erosiona la credibilidad del sistema democrático, crea un clima de miedo en los espacios de participación política y refuerza la vulnerabilidad de los contendientes electorales. Podría ser un acontecimiento que desaliente la participación política.
&#8212;-
On Monday, 11 August 2025, Senator Miguel Uribe Turbay passed away. He had been shot during a political rally in Bogotá on 7 June while running for the presidential candidacy for the 2026 elections. Uribe Turbay&#8217;s death, which came after two months in intensive care, has had a profound impact on a country that has relived dark episodes of political violence in recent decades. This is one of the most serious acts of electoral violence in recent times: although a 15-year-old boy was arrested as the perpetrator and six other people were captured, the mastermind behind the crime has not yet been identified.
The case has had a national and international impact: thousands of people participated in protests and acts of mourning, political figures from all sectors expressed their condemnation and pressure for justice, and the government announced extraordinary security measures for the pre-candidates. This murder comes just nine months before Colombia&#8217;s presidential elections (scheduled for March 2026), heightening democratic tension, polarisation and social fear. The pattern of assassinations of social leaders is reinforced by this murder of a political leader who was a presidential candidate. In the last year, although there have been no murders like this one, political violence has manifested itself in the assassination of social actors at the territorial level.
The electoral climate was already marked by polarisation, and the Electoral Observation Mission had been reporting violent incidents against political actors, especially at the local level. This impact could significantly affect the 2026 elections. This event erodes the credibility of the democratic system, creates a climate of fear in spaces for political participation, and reinforces the vulnerability of electoral contenders. It could be an event that discourages political participation.
",2025-08-13,,,Colombia,"Respect and protection of fundamental freedoms",Negative,"Deterioration alert","Freedom of expression",,,,,,,,,,
"Tanzanian Police Directed to Strengthen Online Surveillance During Election Period","Event Summary
The Minister for Home Affairs, Innocent Bashungwa, has instructed the Inspector General of Police (IGP), Camillus Wambura, and the entire Police Force to strengthen &#8220;online patrols&#8221; in the same way street patrols are conducted, in order to curb financial crimes and deter individuals who use online platforms to disrupt public peace. Speaking on 6 August 2025, during the inauguration of the Daraja B Police Station, Bashungwa said: &#8220;I encourage you to remain vigilant and show no leniency toward anyone who might be used by those with ill intentions against our country, especially during this election period to disrupt our national peace.&#8221;
The concept of “online patrols” refers to proactive digital monitoring by law enforcement to detect and address cybercrimes, including financial fraud, scams, and content perceived as threatening public order. Similar measures have been taken in the past, especially during politically sensitive periods, but they have also drawn criticism from human rights groups and civil society organizations, who warn such actions could be used to justify excessive surveillance, censorship, or the suppression of legitimate dissent. Increased monitoring risks curtailing free speech online, especially political dissent, activism, or criticism of government policies. This may create a chilling effect where citizens hesitate to share views or engage in open debate
",2025-08-13,,,Tanzania,"Digital Environment Integrity and Security, Respect and protection of fundamental freedoms",Negative,"Context to watch","Freedom of expression, Freedom of the press / media",,,,,"Internet Censorship",,,,,
